ERROR 2023-01-08 22:03:42,115 [AppLog] 发送设备请求信息异常：无法连接到远程服务器
ERROR 2023-01-08 22:04:03,176 [AppLog] 请求发生了错误：无法连接到远程服务器
ERROR 2023-01-08 22:04:24,246 [AppLog] 发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-01-08 22:04:45,318 [AppLog] 请求发生了错误：无法连接到远程服务器
ERROR 2023-01-08 22:05:06,385 [AppLog] 【主窗体】获取禁止应用程序数据发生异常：无法连接到远程服务器
INFO  2023-01-08 22:06:06,387 [AppLog] 定时任务开始时间:2023-01-08 22:06:06
ERROR 2023-01-08 22:06:27,637 [AppLog] 发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-01-08 22:06:48,857 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-01-08 22:06:48,857 [AppLog] 定时任务结束时间:2023-01-08 22:06:48
INFO  2023-01-08 22:07:06,401 [AppLog] 定时任务开始时间:2023-01-08 22:07:06
ERROR 2023-01-08 22:07:27,460 [AppLog] 发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-01-08 22:07:48,564 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-01-08 22:07:48,564 [AppLog] 定时任务结束时间:2023-01-08 22:07:48
INFO  2023-01-08 22:08:06,386 [AppLog] 定时任务开始时间:2023-01-08 22:08:06
ERROR 2023-01-08 22:08:27,441 [AppLog] 发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-01-08 22:08:48,549 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-01-08 22:08:48,550 [AppLog] 定时任务结束时间:2023-01-08 22:08:48
INFO  2023-01-08 22:09:06,386 [AppLog] 定时任务开始时间:2023-01-08 22:09:06
ERROR 2023-01-08 22:09:27,444 [AppLog] 发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-01-08 22:09:48,574 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-01-08 22:09:48,574 [AppLog] 定时任务结束时间:2023-01-08 22:09:48
INFO  2023-01-08 22:09:51,922 [AppLog] 请求数据为:{"keywords":"","id":""}
ERROR 2023-01-08 22:10:12,981 [AppLog] 请求发生了错误：无法连接到远程服务器
INFO  2023-01-08 22:10:13,464 [AppLog] 定时任务开始时间:2023-01-08 22:10:13
ERROR 2023-01-08 22:10:34,511 [AppLog] 发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-01-08 22:10:55,684 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-01-08 22:10:55,684 [AppLog] 定时任务结束时间:2023-01-08 22:10:55
INFO  2023-01-08 22:11:17,312 [AppLog] 定时任务开始时间:2023-01-08 22:11:17
ERROR 2023-01-08 22:11:38,388 [AppLog] 发送redis请求发生了错误：无法连接到远程服务器
