ERROR 2023-03-29 09:15:01,627 [AppLog] 发送设备请求信息异常：无法连接到远程服务器
ERROR 2023-03-29 09:15:22,819 [AppLog] 请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:15:43,880 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:16:04,963 [AppLog] 请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:16:26,015 [AppLog] 【主窗体】获取禁止应用程序数据发生异常：无法连接到远程服务器
INFO  2023-03-29 09:17:26,023 [AppLog] 定时任务开始时间:2023-03-29 09:17:26
ERROR 2023-03-29 09:17:28,917 [AppLog] 定时任务发生异常：拒绝访问。
INFO  2023-03-29 09:17:28,925 [AppLog] 定时任务结束时间:2023-03-29 09:17:28
INFO  2023-03-29 09:18:26,032 [AppLog] 定时任务开始时间:2023-03-29 09:18:26
ERROR 2023-03-29 09:18:33,758 [AppLog] 定时任务发生异常：拒绝访问。
INFO  2023-03-29 09:18:33,759 [AppLog] 定时任务结束时间:2023-03-29 09:18:33
INFO  2023-03-29 09:19:26,024 [AppLog] 定时任务开始时间:2023-03-29 09:19:26
ERROR 2023-03-29 09:19:33,872 [AppLog] 定时任务发生异常：拒绝访问。
INFO  2023-03-29 09:19:33,872 [AppLog] 定时任务结束时间:2023-03-29 09:19:33
INFO  2023-03-29 09:20:26,044 [AppLog] 定时任务开始时间:2023-03-29 09:20:26
ERROR 2023-03-29 09:20:35,181 [AppLog] 定时任务发生异常：拒绝访问。
INFO  2023-03-29 09:20:35,182 [AppLog] 定时任务结束时间:2023-03-29 09:20:35
INFO  2023-03-29 09:21:26,029 [AppLog] 定时任务开始时间:2023-03-29 09:21:26
ERROR 2023-03-29 09:21:38,205 [AppLog] 定时任务发生异常：拒绝访问。
INFO  2023-03-29 09:21:38,206 [AppLog] 定时任务结束时间:2023-03-29 09:21:38
INFO  2023-03-29 09:22:26,024 [AppLog] 定时任务开始时间:2023-03-29 09:22:26
ERROR 2023-03-29 09:22:47,086 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:23:08,246 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:23:08,246 [AppLog] 定时任务结束时间:2023-03-29 09:23:08
INFO  2023-03-29 09:23:26,024 [AppLog] 定时任务开始时间:2023-03-29 09:23:26
ERROR 2023-03-29 09:23:47,093 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:24:08,231 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:24:08,231 [AppLog] 定时任务结束时间:2023-03-29 09:24:08
INFO  2023-03-29 09:24:26,026 [AppLog] 定时任务开始时间:2023-03-29 09:24:26
ERROR 2023-03-29 09:24:47,099 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:25:08,221 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:25:08,221 [AppLog] 定时任务结束时间:2023-03-29 09:25:08
INFO  2023-03-29 09:25:26,028 [AppLog] 定时任务开始时间:2023-03-29 09:25:26
ERROR 2023-03-29 09:25:47,074 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:26:08,218 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:26:08,218 [AppLog] 定时任务结束时间:2023-03-29 09:26:08
INFO  2023-03-29 09:26:26,031 [AppLog] 定时任务开始时间:2023-03-29 09:26:26
ERROR 2023-03-29 09:26:47,100 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:27:08,271 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:27:08,271 [AppLog] 定时任务结束时间:2023-03-29 09:27:08
INFO  2023-03-29 09:27:26,033 [AppLog] 定时任务开始时间:2023-03-29 09:27:26
ERROR 2023-03-29 09:27:47,095 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:28:08,258 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:28:08,259 [AppLog] 定时任务结束时间:2023-03-29 09:28:08
INFO  2023-03-29 09:28:26,025 [AppLog] 定时任务开始时间:2023-03-29 09:28:26
ERROR 2023-03-29 09:28:47,080 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:29:08,233 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:29:08,233 [AppLog] 定时任务结束时间:2023-03-29 09:29:08
INFO  2023-03-29 09:29:26,038 [AppLog] 定时任务开始时间:2023-03-29 09:29:26
ERROR 2023-03-29 09:29:47,098 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:30:08,739 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:30:08,739 [AppLog] 定时任务结束时间:2023-03-29 09:30:08
INFO  2023-03-29 09:30:26,022 [AppLog] 定时任务开始时间:2023-03-29 09:30:26
